,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Ciara,Video shows Kenya’s president saying he will “get rid of U.S. dollar.”,Instagram posts,"April 14, 2023",false,FAKE,0
1,Ciara,"“Congress, White House, IRS, Feds, Federal Reserve are shut down.”",Instagram posts,"April 14, 2023",pants-fire,FAKE,0
2,Louis,“Fewer people get hurt playing rugby” than American football.,Joe Biden,"April 14, 2023",barely-true,FAKE,0
3,Ciara,Manhattan District Attorney Alvin Bragg “has been arrested.”,Facebook posts,"April 14, 2023",pants-fire,FAKE,0
4,Ciara,Elon Musk is offering people the opportunity to make $1 million “in 90 days while sleeping in.”,Viral image,"April 14, 2023",false,FAKE,0
5,Jeff,“In America our own (central bank digital currency) system is going to be launching July 1. It’s called the FedNow payment system.”,TikTok posts,"April 14, 2023",false,FAKE,0
6,Ciara,Video proves John F. Kennedy Jr. is alive.,Viral image,"April 14, 2023",pants-fire,FAKE,0
7,Ciara,Video shows John F. Kennedy Jr. in a “real presidential convoy.”,Facebook posts,"April 14, 2023",pants-fire,FAKE,0
8,Ciara,Cash App founder Bob Lee’s death is connected to FedNow.,Instagram posts,"April 14, 2023",false,FAKE,0
9,Marta,“¡Florida emergencia! Huracán Ian golpe directo”.,Facebook posts,"• April 14,",false,FAKE,0
10,Jeff,A video shows a steamroller destroying Bud Light cases in relation to Anheuser-Busch’s partnership with a trans person.,Instagram posts,"April 14, 2023",false,FAKE,0
11,Maria,“La NASA advierte que el sol podría dejar de brillar y causar una catástrofe”.,Facebook posts,"April 14, 2023",barely-true,FAKE,0
12,Ciara,The person purporting to be Tiffany Dover is an impostor.,Viral image,"April 14, 2023",pants-fire,FAKE,0
13,Tom,HIV is not contagious.,Facebook posts,"April 13, 2023",pants-fire,FAKE,0
14,Marta,"""Latino, inmigrante, recién llegado … Si eres inmigrante en Estados Unidos y llevas más de tres meses ahí, podrías calificar para obtener cupones de comida”.",Facebook posts,"• April 13,",barely-true,FAKE,0
15,Samantha,Abortion pills are dangerous and “1 in 5 women will suffer a complication.”,Alliance Defending Freedom,"April 13, 2023",false,FAKE,0
16,Jeff,"Lead paint was not banned to protect children’s health, but because it would protect people from radiation.",Facebook posts,"April 13, 2023",false,FAKE,0
17,Grace,New Kansas law will “authorize genital inspections of children in order for kids to play sports.”,Tweets,"April 13, 2023",barely-true,FAKE,0
18,Louis,Actions of the Tennessee state legislators who protested against gun violence were “at least equivalent” to the actions of the Jan. 6 insurrectionists.,Cameron Sexton,"April 13, 2023",false,FAKE,0
19,Maria,"El presidente Joe Biden dijo, “estamos quebrados, completamente quebrados. Agarren su dinero del banco, sáquenlo, sáquenlo ya”.",Facebook posts,"April 13, 2023",pants-fire,FAKE,0
20,Ciara,“Nike lost a lawsuit against antisemitism and has to give away gift cards to its customers.”,Facebook posts,"April 12, 2023",false,FAKE,0
21,Ciara,Video shows U.S. Rep. Jim Jordan slapping special counsel Robert Mueller.,Facebook posts,"April 12, 2023",pants-fire,FAKE,0
22,Ciara,Video shows footage of the war in Ukraine.,Facebook posts,"April 12, 2023",false,FAKE,0
23,Ciara,“FEMA camps are open for the upcoming arrests for crimes against humanity.”,Facebook posts,"April 12, 2023",pants-fire,FAKE,0
24,Sara,“Canada just made it illegal to protest against the LGBT!”,Facebook posts,"April 12, 2023",false,FAKE,0
25,Marta,“La OTAN ordena apuntar misiles a Rusia y Putin ordena a su ejército invadir Finlandia!”,Facebook posts,"• April 12,",false,FAKE,0
26,Ciara,Video shows Sen. Chris Murphy running away because Sen. Ted Cruz said “just shut your mouth.”,Facebook posts,"April 12, 2023",barely-true,FAKE,0
27,Maria,“Joe Biden liberará a reos tras visita de Marco Rubio a El Salvador”.,Facebook posts,"April 12, 2023",false,FAKE,0
28,Amy,"When migrants arrived on Martha’s Vineyard, “They called out the National Guard and deported them within 24 hours.”",Ron DeSantis,"April 11, 2023",false,FAKE,0
29,Ciara,A photo shows Jeffrey Epstein with four boys on a beach.,Tweets,"April 11, 2023",false,FAKE,0
30,Louis,“The 5 states with the highest gun homicide rates in the nation all have loose gun laws” while “the 5 states with the lowest rates have some of the toughest laws.”,Chris Murphy,"April 11, 2023",half-true,REAL,1
31,Jeff,"Video shows ""HAARP gets destroyed” by protesters.",Instagram posts,"April 10, 2023",false,FAKE,0
32,Gabrielle,Elon Musk said a new Tesla feature can scan testicles and use that information “to biometrically unlock and start the car.”,Instagram posts,"April 10, 2023",pants-fire,FAKE,0
33,Sara,“Anheuser-Busch CEO resigns” after Bud Light partners with transgender social media influencer Dylan Mulvaney.,Facebook posts,"April 10, 2023",false,FAKE,0
34,Ciara,“Hillary Clinton indicted.”,Facebook posts,"April 10, 2023",pants-fire,FAKE,0
35,Jill,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,Ron DeSantis,"• April 8,",true,REAL,1
36,Madison,U.S. public schools don't teach the Declaration of Independence.,Facebook posts,"April 7, 2023",false,FAKE,0
37,Paul,“North Carolina ranks last in the country in K-12 funding.”,North Carolina state House Democratic Caucus,"April 7, 2023",barely-true,FAKE,0
38,Jeff,"""Vitamins aren’t FDA approved, but Twinkies are.”",Facebook posts,"April 7, 2023",barely-true,FAKE,0
39,Loreben,There have been no new COVID-19 variants since Dr. Anthony Fauci retired.,Instagram posts,"April 7, 2023",false,FAKE,0
40,Grace,“Florida man charged with a hate crime” for defacing pride crosswalk.,Tweets,"April 7, 2023",barely-true,FAKE,0
41,Sara,Pouring soda on raw pork will cause parasites to emerge.,Facebook posts,"April 7, 2023",pants-fire,FAKE,0
42,Gabrielle,"A video shows Florida Gov. Ron DeSantis saying, “Now Trump’s been indicted, now the people will have no choice but to accept me as their assigned candidate.”",TikTok posts,"April 7, 2023",pants-fire,FAKE,0
43,Sara,"A doctor tweeted that she doesn’t regret giving the COVID-19 vaccine, “even if it turns out I injected you with actual poison and you only have days to live.”",Instagram posts,"April 6, 2023",pants-fire,FAKE,0
44,Jeff,"Report proves that COVID-19 vaccines caused 300,000 excess deaths in 2022.",Instagram posts,"April 6, 2023",false,FAKE,0
45,Madison,“President Trump is officially a political prisoner.”,Tom Fitton,"April 6, 2023",false,FAKE,0
46,Amy,"Regarding Trump’s January 2021 telephone call with Georgia election officials, “nobody found anything wrong with that perfect call until a book promotion tour many months later.”",Donald Trump,"April 5, 2023",pants-fire,FAKE,0
47,Louis,"“In the next two years, we'll spend more on interest on our national debt than we do on the national defense.”",Mike Pence,"April 5, 2023",half-true,REAL,1
48,Maria,"“Title 42 and other Trump-era holdovers are forcing migrants into dangerous, overcrowded conditions in Mexico.”",Joaquin Castro,"• April 5,",mostly-true,REAL,1
49,Maria,“La mayor parte” del fentanilo que llega a los puertos de Estados Unidos viene desde Canadá.,Facebook posts,"April 5, 2023",false,FAKE,0
50,Ciara,Video shows a crowd erupting and Hillary Clinton crying during a committee hearing.,Facebook posts,"April 5, 2023",pants-fire,FAKE,0
51,Ciara,Video shows Homeland Security Secretary Alejandro Mayorkas crying after a question from an aide to former President Donald Trump.,Facebook posts,"April 5, 2023",pants-fire,FAKE,0
52,Ciara,A video shows President Joe Biden “getting off plane with little boy dressed like girl.”,Viral image,"April 5, 2023",false,FAKE,0
53,Samantha,White House Press Secretary Karine Jean-Pierre was involved in a covered-up DUI accident,Tweets,"April 5, 2023",pants-fire,FAKE,0
54,Madison,Video clip shows that protesters in Tennessee “made their way onto the state capitol floor.”,Laura Ingraham,"April 4, 2023",false,FAKE,0
55,Loreben,The FedNow program “is going to replace your paper currency.”,Facebook posts,"April 4, 2023",false,FAKE,0
56,Conor,Sullivan County “has the highest opioid death rate in all of New York state” yet “it’s the only county in the Hudson Valley not included in the federal High-Intensity Drug Trafficking Area” program.,Charles Schumer,"April 4, 2023",mostly-true,REAL,1
57,Samantha,"Joe Biden received a military funeral service Jan. 20, 2021",Facebook posts,"April 4, 2023",pants-fire,FAKE,0
58,Ciara,Videos show former Secretary of State Hillary Clinton discussing a glass dome over Earth.,Instagram posts,"April 4, 2023",pants-fire,FAKE,0
59,Ciara,“Pelosi cries like a kid after Trump’s lawyer proves her client ‘innocence.’”,Facebook posts,"April 4, 2023",false,FAKE,0
60,Ciara,“Brittney Griner’s shocking detention photos leaked online.”,Facebook posts,"April 4, 2023",false,FAKE,0
61,Ciara,"U.S. Rep. Jim Jordan, R-Ohio, “sends Biden straight to jail.”",Facebook posts,"April 4, 2023",pants-fire,FAKE,0
62,Ciara,Former President Donald Trump is actually another man wearing a Trump mask.,Facebook posts,"April 4, 2023",pants-fire,FAKE,0
63,Gabrielle,"Morgan Freeman called out Joe Biden for talking about “ice cream” before commenting on the Nashville, Tennessee, school shooting.",TikTok posts,"April 3, 2023",pants-fire,FAKE,0
64,Marta,“Hay un nuevo virus regado en China donde los humanos se convierten en zombis”.,Instagram posts,"• April 3,",false,FAKE,0
65,Amy,"In the U.S., “you’re not allowed to own a machine gun.”",Joe Biden,"April 3, 2023",barely-true,FAKE,0
66,Loreben,"Rep. Alexandria Ocasio-Cortez, D-N.Y., “is now worth $29 million dollars.”",Facebook posts,"April 3, 2023",pants-fire,FAKE,0
67,Yacob,"Gov. Ron DeSantis sealed ""all beaches"" in Florida.",Donald Trump,"April 3, 2023",barely-true,FAKE,0
68,Amy,Former President Donald Trump “instructed all the governors to shut down” because of the COVID-19 pandemic.,Jared Moskowitz,"April 3, 2023",half-true,REAL,1
69,Tom,Solar companies “have to give solar panels away for completely no net cost.”,Facebook posts,"March 31, 2023",false,FAKE,0
70,Andy,DO Black credit card is part of a government plot to control people’s lives.,Facebook posts,"March 31, 2023",false,FAKE,0
71,Loreben,The Nashville shooter was wearing different pairs of shoes before and after being killed.,Social Media,"March 31, 2023",pants-fire,FAKE,0
72,Madison,“The UK has had ZERO school shootings since” it changed its gun laws after a 1996 school shooting.,Instagram posts,"March 31, 2023",mostly-true,REAL,1
73,Gabrielle,Video shows Florida Gov. Ron DeSantis saying he made certain political choices because “that’s where the money is.”,Facebook posts,"March 31, 2023",pants-fire,FAKE,0
74,Marta,“Enorme ejércitos polacos de 100 mil … entran en la frontera rusa”.,Facebook posts,"• March 31,",false,FAKE,0
75,Loreben,Video shows President Joe Biden talking about what “stable Jesus” said about airports.,Instagram posts,"March 30, 2023",false,FAKE,0
76,Aarón,"When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",Brandon Creighton,"March 30, 2023",half-true,REAL,1
77,Madison,"Photo of person holding sign shows the shooter who killed six people at a Nashville, Tennessee, school.",Facebook posts,"March 30, 2023",false,FAKE,0
78,Louis,“We have a national debt the size of our nation’s economy for the first time since World War II.”,Mike Pence,"March 30, 2023",half-true,REAL,1
79,Tom,Images show a great white shark on the beach in North Carolina.,Facebook posts,"March 29, 2023",false,FAKE,0
80,Jeff,Video shows zombie virus outbreak in China.,Instagram posts,"March 29, 2023",false,FAKE,0
81,Loreben,"A photo shows former President Barack Obama’s “old boyfriend,” to whom he paid “hush money.”",Instagram posts,"March 29, 2023",pants-fire,FAKE,0
82,Amy,“Gun violence is the number one killer of children and teens — it has overtaken cars.”,Ashbey Beasley,"March 29, 2023",mostly-true,REAL,1
83,Cameron,“Every single county in New York has experienced a federal climate disaster between 2011-2021.”,Rebuild by Design,"March 29, 2023",mostly-true,REAL,1
84,Marnique,“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,William Barclay,"• March 29,",mostly-true,REAL,1
85,Tom,"Climate change is caused by corporations using ""weather modification patents.”",Instagram posts,"March 29, 2023",false,FAKE,0
86,Madeline,"At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it.",American Principles Project,"March 29, 2023",pants-fire,FAKE,0
87,Jeff,Images show “Putin has been arrested.”,Facebook posts,"March 28, 2023",false,FAKE,0
88,Madison,"“The gay dating app Grindr says if Florida doesn’t stop passing homophobic and transphobic laws, they’ll reveal every Republican legislator and party official who secretly uses the app.”",Instagram posts,"March 28, 2023",false,FAKE,0
89,Samantha,“Congress has officially banned TikTok.”,Tweets,"March 28, 2023",false,FAKE,0
90,Loreben,"The Nashville, Tennessee, school shooter was Samantha Hyde.",Facebook posts,"March 28, 2023",pants-fire,FAKE,0
91,D.L.,"The money for upgrades to the Milwaukee Brewers stadium in Evers’ budget is ""a bipartisan plan.""",Tony Evers,"March 28, 2023",barely-true,FAKE,0
92,Tom,“Trump just shared a bombshell letter from Stormy Daniels debunking DA Bragg's case.”,Facebook posts,"March 27, 2023",false,FAKE,0
93,Loreben,Manhattan District Attorney Alvin Bragg announced that his office “has decided to drop all charges against Donald Trump.”,TikTok posts,"March 27, 2023",pants-fire,FAKE,0
94,Jeff,Photo shows Pennsylvania Sen. John Fetterman has a body double.,Facebook posts,"March 27, 2023",pants-fire,FAKE,0
95,Madison,"“At a top robotics company in Japan this week, four robots being developed for military applications killed 29 humans in the lab.”",Facebook posts,"March 27, 2023",false,FAKE,0
96,Laura,"As a sitting Supreme Court justice, Daniel Kelly recused himself from a case, then “he pocketed $20,000 in contributions” from the plaintiff and family members and “unrecused himself so he could judge the case.”",Janet Protasiewicz,"March 24, 2023",half-true,REAL,1
97,Maria,"Violent crime in Manhattan is ""now at a record level.""",Donald Trump,"• March 24,",false,FAKE,0
98,Loreben,“No one got (a) dime” from the $70 million raised for the Florida Disaster Fund.,Tweets,"March 24, 2023",false,FAKE,0
99,Warren,On red flag laws.,Glen Sturtevant,"March 24, 2023",full-flop,FAKE,0
100,Madison,Silicon Valley Bank “donated $73M to 'BLM Movement'”,Facebook posts,"March 22, 2023",false,FAKE,0
101,Gabrielle,Video shows Elon Musk saying he bought Twitter and unblocked Andrew Tate’s Twitter account because “we need to escape the suppression from the matrix and expose the global elites.”,Facebook posts,"March 22, 2023",pants-fire,FAKE,0
102,Loreben,“You can get vaccinated by sleeping with somebody who is already jabbed” with an mRNA vaccine. “It’s called shedding.”,Instagram posts,"March 22, 2023",false,FAKE,0
103,Ciara,Charles Darwin predicted a sub-species of humans “will deny biology” and “attempt to undo the centuries of human development by rewriting history.”,Viral image,"March 22, 2023",false,FAKE,0
104,Matthew,“We cut Black child poverty in half in 2021 because of the child tax credit.”,Joe Biden,"March 22, 2023",mostly-true,REAL,1
105,Ciara,TV host “Dr. Phil” endorsed a “2023 seniors benefits program.”,Facebook posts,"March 21, 2023",false,FAKE,0
106,Ciara,Former President Donald Trump said “any indictment of me is an indictment of you.”,Viral image,"March 21, 2023",false,FAKE,0
107,Ciara,Video shows “Trump supporters lining up on Fifth Ave in Manhattan on Sunday.”,Facebook posts,"March 21, 2023",false,FAKE,0
108,Ciara,Former President Donald Trump is the “current sitting” commander in chief.,Facebook posts,"March 21, 2023",pants-fire,FAKE,0
109,Ciara,Former President Donald Trump issued a statement threatening to leak “interesting videos” of House Speaker Kevin McCarthy.,Viral image,"March 21, 2023",false,FAKE,0
110,Ciara,Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.,Instagram posts,"March 21, 2023",pants-fire,FAKE,0
111,Ciara,Elon Musk tweeted he would “buy Joint Commission and let nurses have drinks at their station.”,Viral image,"March 20, 2023",false,FAKE,0
112,Ciara,Photo shows Magic Johnson donating blood “to help underprivileged communities help fight COVID-19.”,Viral image,"March 20, 2023",false,FAKE,0
113,Ciara,"Former President Donald Trump tweeted, “The storm is upon us.”",Viral image,"March 20, 2023",false,FAKE,0
114,Ciara,Angelina Jolie is dead.,Bloggers,"March 20, 2023",pants-fire,FAKE,0
115,Gabrielle,Says President Joe Biden was recorded talking about bank collapse.,TikTok posts,"March 20, 2023",pants-fire,FAKE,0
116,Samantha,“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,Instagram posts,"March 20, 2023",pants-fire,FAKE,0
117,Ciara,Photo shows former President Donald Trump detained by police.,Tweets,"March 20, 2023",false,FAKE,0
118,Louis,"""Half the kids in this country, when they graduate, can’t read their diploma.”",Tommy Tuberville,"March 20, 2023",barely-true,FAKE,0
119,Aarón,"""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",Greg Abbott,"March 20, 2023",half-true,REAL,1
120,Grace,"“USA gives final warning to Uganda to legalize homosexuality,” or no aid.",Facebook posts,"March 17, 2023",false,FAKE,0
121,Madeline,"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",Darrin Madison,"March 17, 2023",half-true,REAL,1
